,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Rudraprayag,5,58,0,471,56,75,97,115,124,156,155,175,198,224,252,255,288,312,318,302,295,260,259,231,196,184,128,137,138,138,134,177,161,158,169,184,163,198,169,166,171,108,128,110,70,72,61,41,38,32,20,16,22,16,22,25,18,8,9,17,16,11,6,2,6,2,1,7,3,2,1,2,1,3
Erode,33,610,0,98,16,19,13,28,17,25,39,37,59,82,111,125,155,246,302,397,545,677,794,945,1067,1057,907,760,578,443,389,362,355,365,487,637,805,894,1120,1160,1044,968,937,760,622,488,413,339,236,210,212,171,148,117,98,92,78,57,62,47,53,44,48,39,24,27,20,20,13,11,14,7,19,21
Nagpur,27,505,0,110,31,26,47,41,38,60,62,82,127,180,207,294,346,507,692,852,1065,1315,1435,1833,1906,2074,2366,2313,2268,2221,2136,1909,1692,1484,1310,1188,1097,966,899,767,586,570,537,412,423,350,342,308,283,226,218,170,191,144,119,147,132,112,107,89,96,86,64,67,67,63,54,64,52,72,74,54,69,311
Gopalganj,10,217,0,3,0,1,0,1,0,3,2,1,0,4,4,7,13,18,19,22,41,55,79,106,164,208,288,393,492,574,579,596,590,537,536,534,517,421,385,342,308,290,197,166,160,106,103,76,61,36,26,20,23,8,8,11,4,3,4,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0
Haveri,29,564,0,9,3,3,6,3,4,7,4,11,19,34,34,44,66,102,128,172,260,410,537,753,1114,1319,1524,1642,1602,1506,1297,1067,897,770,667,568,479,424,339,326,261,222,211,159,147,109,106,80,70,65,45,37,30,41,29,25,17,19,17,17,10,15,11,10,11,6,4,11,16,12,7,7,3,5
Puducherry,34,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,17,7,27,26,38,44,34,43,58,66,56,58,70,58,66,52,50,60,39,38,30,34,41,28,28,24,16,15,15,21,14,11,5,22
Amreli,24,480,0,91,15,13,22,30,37,48,62,63,99,117,150,216,311,367,476,520,768,987,1236,1540,1766,2205,2429,2579,2416,2213,1973,1707,1407,1184,1053,833,716,673,579,429,389,332,289,240,201,182,138,128,110,111,101,63,57,42,45,47,48,33,41,32,19,19,19,8,6,14,12,5,14,7,11,6,3,27
Lahul & Spiti,2,25,0,1979,283,338,393,429,516,607,744,940,1089,1293,1566,1901,2283,2615,3104,3623,4049,4604,5119,5395,5714,5199,4315,3024,1657,724,224,61,22,6,8,6,4,6,3,7,4,4,2,3,3,2,0,0,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorhat,18,312,0,241,30,43,61,61,92,83,108,131,158,209,254,246,330,393,437,502,565,662,674,731,716,776,711,700,666,560,481,470,402,359,283,212,152,118,94,62,65,44,31,29,28,26,30,28,28,13,15,11,8,7,6,2,6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhatarpur,23,425,0,899,130,129,176,206,254,270,338,389,470,553,628,775,851,975,1128,1287,1280,1442,1472,1435,1468,1463,1565,1517,1402,1362,1264,1210,1061,1011,928,876,834,812,696,659,604,528,510,454,389,324,298,235,215,159,150,130,102,104,47,57,42,45,33,33,19,19,19,6,7,10,6,5,8,6,7,4,1,1
Osmanabad,27,525,0,187,25,42,50,45,68,69,120,130,151,191,240,285,388,514,653,813,1120,1483,1859,2047,2369,2430,2397,2271,2082,1710,1271,1022,891,767,592,542,465,407,325,274,213,218,187,132,122,92,101,62,76,51,45,41,32,32,32,30,26,28,13,9,11,9,9,10,2,3,1,0,0,0,0,0,0,0
Udhampur,1,19,0,285,31,41,46,49,46,64,71,83,101,103,116,152,158,200,215,216,256,241,281,283,337,305,367,340,320,349,359,353,337,371,371,371,341,347,322,315,305,280,224,190,161,116,114,90,87,51,47,39,24,34,26,41,21,22,36,26,24,20,20,19,15,12,12,14,6,2,6,8,2,8
Chandrapur,27,509,0,782,109,107,130,181,218,283,328,388,490,628,786,902,1213,1410,1713,1857,2127,2385,2533,2573,2503,2398,2159,2045,1839,1664,1370,1218,1024,1029,914,825,793,726,604,589,590,499,426,352,361,265,236,194,199,150,135,130,116,131,116,77,80,81,69,69,66,59,55,48,42,33,37,26,23,24,15,14,12,45
Mandya,29,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,13,51,74,159,282,517,849,1184,1464,1698,1770,1704,1625,1505,1406,1102,907,746,630,530,372,297,222,194,156,111,101,92,80,56,55,36,26,33,35,28,33,12,22,23,19,14,16,15,15,16,14,14,15,8,43
South Garo Hills,17,295,0,64,16,10,10,21,24,25,50,51,54,64,85,105,153,162,208,331,371,447,568,623,648,716,748,679,540,446,336,224,199,133,83,74,41,42,34,20,16,5,4,6,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sahibzada Ajit Singh Nagar,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,23,33,54,124,132,164,223,308,336,320,314,330,254,209,228,178,150,139,115,123,102,101,80,91,82,68,75,74,64,45,71,50,56,62,51,51,54,43,48,46,36,55
Lunglei,15,286,0,813,113,139,185,207,251,307,397,455,513,666,767,1015,1088,1272,1417,1629,1637,1551,1371,1079,815,501,308,186,97,59,36,37,17,17,18,13,18,10,13,11,9,9,9,7,8,1,5,2,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lalitpur,9,167,0,590,97,115,131,145,181,207,241,305,344,411,536,580,674,756,876,1038,1079,1145,1130,1100,1105,1039,901,768,698,627,597,561,449,434,412,348,279,266,253,201,210,175,121,111,90,74,57,52,46,42,36,32,17,19,16,20,12,15,8,9,12,13,13,11,4,6,6,3,8,5,3,2,3,21
Chandel,14,280,0,1207,136,175,217,237,287,332,357,410,473,507,564,663,708,734,749,821,745,681,617,500,403,287,203,95,65,41,19,10,9,4,4,4,2,2,2,2,3,1,3,1,2,1,1,1,0,0,1,0,2,1,0,2,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Ganderbal,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rupnagar,3,51,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,3,8,11,28,42,56,93,127,215,325,431,509,575,523,452,456,371,322,258,229,200,159,107,93,105,82,60,67,63,53,39,27,25,26,29,34,27,28,24,21,23,21,23,23,18,20,10,7,4,2,7,2,6
Hamirpur,9,168,0,65,7,23,26,21,40,46,64,72,114,157,182,260,327,440,558,704,841,1063,1107,1215,1202,1219,1111,1044,893,819,667,595,474,418,413,287,292,252,253,193,171,178,148,136,138,100,101,78,61,58,44,38,28,38,28,25,16,20,15,8,9,9,3,13,6,8,8,6,5,4,5,3,1,0
Warangal,28,540,0,1604,193,197,251,293,287,357,395,460,525,532,646,713,800,840,910,1061,1169,1262,1505,1777,2051,2314,2612,2958,2943,2770,2626,2259,1992,1687,1494,1277,1156,910,872,773,658,629,540,448,388,348,254,265,216,176,148,130,97,70,78,59,52,53,35,38,35,41,40,41,24,28,24,19,18,18,6,8,7,10
Kandhamal,21,390,0,4590,531,586,642,689,759,839,891,1013,1063,1125,1147,1198,1195,1241,1143,1057,960,845,677,558,511,365,327,243,165,139,116,91,77,50,43,30,30,29,21,20,9,14,7,9,3,2,10,7,7,3,6,3,5,2,2,4,5,2,2,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0
Yamunanagar,6,71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,8,20,27,36,63,104,101,121,143,184,294,419,457,513,498,519,494,460,442,436,369,319,314,254,199,166,132,127,88,71,63,67,56,52,43,41,34,42,44,20,28,21,32,26,25,16,14,13,6,10,14,5,12
Singrauli,23,463,0,607,97,95,116,127,131,159,209,218,244,316,317,391,546,580,673,699,802,898,870,858,918,890,820,800,756,719,633,603,570,544,510,541,478,575,497,477,468,401,414,405,385,342,349,279,231,227,194,158,150,129,94,73,77,80,76,58,67,74,54,54,56,47,43,45,46,30,34,29,30,168
