,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Unnao,9,156,0,0,0,0,0,0,0,0,0,0,0,769,10463,4647,1679,787,469,287,199,177,148,125,96,89,53,52,40,42,20,33,30,23,23,12,21,7,17,16,16,8,11,11,6,8,6,4,5,13,6,8,8,4,4,2,4,6,2,6,3,2,2,2,1,0,0,2,3,4,3,1,2,2,4,2,1,4,4,5,2,4,4,3,1,0,1,0,2,1,2,1,1,4,2,4,4,1,2,1,2,1,5
Papum Pare,12,248,0,0,0,0,0,0,0,0,0,0,171,12190,3081,554,215,133,76,58,45,34,41,35,19,18,30,13,27,17,18,9,12,10,15,12,14,2,7,10,9,7,5,4,11,3,7,5,4,5,5,5,2,0,1,2,2,5,5,4,3,2,5,5,2,1,0,1,3,1,1,2,4,2,3,4,0,4,0,1,3,0,0,0,6,3,2,2,1,0,2,1,1,2,1,1,1,0,1,1,4,1,3
Ramanagara,29,584,0,0,0,0,0,0,0,0,0,9,190,867,1185,1416,1267,1000,801,644,568,438,307,262,175,137,122,105,65,83,58,46,33,45,31,23,17,11,23,23,17,19,16,7,6,1,10,2,3,7,6,8,5,11,5,3,0,2,3,1,3,1,6,9,4,0,0,1,3,0,0,1,1,3,0,4,3,4,2,3,2,0,0,0,2,0,2,1,0,0,2,1,2,2,0,0,4,2,2,0,0,0,2
Chandauli,9,196,0,0,0,0,0,0,0,0,0,0,2,1857,2878,2289,1223,696,450,289,247,163,132,89,76,81,63,65,47,52,38,30,34,30,19,20,16,16,10,23,12,13,22,10,8,11,14,7,10,5,8,4,6,5,5,7,3,1,5,9,4,2,1,2,3,4,2,2,4,2,1,2,4,2,2,1,0,1,3,1,4,2,2,1,1,3,1,5,0,0,3,2,1,1,2,0,1,2,0,1,1,0,1
Tuensang,13,267,0,0,0,0,0,0,0,0,0,0,483,8248,1714,232,114,74,27,24,20,8,14,8,6,9,5,5,7,4,2,5,3,4,1,1,4,1,2,1,1,1,1,0,0,2,1,1,3,1,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Kottayam,32,597,0,0,0,0,0,0,0,0,0,11,29,19,12,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Andaman,35,640,0,0,0,0,0,0,0,0,11,1555,6898,648,202,113,68,54,41,35,23,9,20,16,21,16,13,7,9,6,9,8,6,4,6,8,11,3,8,6,6,5,1,6,4,3,4,0,3,0,5,1,1,3,3,1,1,2,4,1,3,1,0,1,2,0,0,0,1,0,0,1,2,1,0,0,0,2,0,0,0,0,0,2,1,0,3,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1
Mewat,6,87,0,0,0,0,0,0,0,0,0,0,0,1,1,144,581,685,654,523,446,419,348,324,293,225,221,196,152,138,103,103,111,84,97,56,57,55,52,54,37,23,27,23,20,19,27,17,22,20,17,12,20,11,18,10,9,11,9,6,7,7,5,8,6,6,9,6,2,4,4,4,6,5,6,1,3,0,2,5,1,2,5,0,7,6,2,2,1,1,1,3,2,1,2,0,1,5,1,0,1,2,1
Etawah,9,161,0,0,0,0,0,0,0,0,0,0,0,2,557,994,883,746,700,576,609,550,527,481,472,417,336,329,258,233,181,164,147,127,102,87,73,64,59,50,64,40,32,41,30,27,25,26,15,25,17,7,12,16,11,14,14,7,17,10,6,8,7,5,7,10,7,5,8,7,6,3,4,6,1,5,5,4,5,4,5,2,2,5,1,0,3,2,5,1,2,4,2,2,2,1,4,2,2,4,2,2,1
East Siang,12,251,0,0,0,0,0,0,0,0,0,1,186,11668,4796,190,49,28,19,17,18,12,9,12,4,2,3,5,3,3,0,1,2,1,2,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
