distName,st_cen_cd,censuscode,SOL_14,SOL_15,SOL_16,SOL_17,SOL_18
Hamirpur,2,28,2548.3965,2356.37,1717.1143,2474.79,2460.44
Hamirpur,9,168,10212.667,9589.858,10666.263,14477.93,13812.36
Warangal,28,540,24827.805,26512.256,22403,34037.31,31232.879
Kandhamal,21,390,1097.5914,4105.2954,-1142.0347,5649.0503,5748.39
Yamunanagar,6,71,13423.119,10886.173,8345.433,11326.931,13736.24
Singrauli,23,463,24531.727,27226.738,18949.197,28112.871,27326.92
Khordha,21,386,21531.541,21421.805,20325.76,21727.291,23198.49
Kangra,2,24,11567.045,10879.299,7780.5557,11839.83,11514.431
Katni,23,450,12131.956,13836.929,11835.776,16296.02,16091.67
Barwani,23,441,5596.32,6888.7754,3680.109,9249.48,10921.88
Kasaragod,32,588,1073.1094,1899.581,1442.1624,3500.69,3762.23
Ambedkar Nagar,9,178,6948.1973,9696.326,12998.031,18440.76,16122.36
Narsimhapur,23,452,15210.345,17139.783,15242.237,18576.88,20588.54
Durg,22,409,46812.355,46219.367,37672.69,45731.48,42099.11
Chirang,18,320,6754.952,5538.8945,4800.7188,5539.51,6287.9395
Neemuch,23,432,9063.895,10176.065,7670.4736,10622.25,11846.64
Panipat,6,75,29415.828,26317.693,17429.367,17393.629,22664.309
Nizamabad,28,533,20035.09,20837.238,16289.959,22410.67,24150.22
Salem,33,608,25479.086,28178.402,27384.27,30371.44,29431.008
Sehore,23,445,12959.92,16517.281,12411.186,18016.701,20102.51
Banas Kantha,24,469,25503.098,27021.158,18973.877,31624.24,32593.34
Aligarh,9,143,22334.955,33725.21,31327.984,35892.87,35973.9
Chikkaballapura,29,582,9512.224,11736.486,10521.953,14437.21,15401.71
Etah,9,201,8273.622,11073.521,12075.545,13856.83,15294.199
Solan,2,31,10576.715,10177.541,8201.381,9829.1,10564.21
Sivaganga,33,622,4191.32,6853.8438,5246.2773,8346.561,8286.9
West Garo Hills,17,293,5472.149,5471.009,4006.8486,7937.2695,7694.7197
Puruliya,19,340,16629.314,18246.604,14140.416,19170.428,18475.43
Hazaribagh,20,360,12884.223,15895.807,13679.832,17671.871,18596.941
Chitrakoot,9,171,4506.566,4937.198,4485.535,8179.43,7839.8496
Parbhani,27,513,14522.569,15628.281,11683.762,17928.441,19787.42
Baran,8,128,28344.773,29410.582,21844.184,23897.21,27847.361
Visakhapatnam,28,544,35762.67,42583.32,35098.22,46485.777,43200.08
Satna,23,429,17640.242,23603.254,22199.79,30709.582,32021.23
Hardoi,9,155,12407.923,15353.212,13049.544,22542.51,22696.35
Dakshina Kannada,29,575,13009.628,20589.697,15087.938,18984.67,19363.492
Seoni,23,456,8562.72,10718.399,7737.3154,15406.02,14409.13
Rohtas,10,234,9423.79,15189.512,10584.468,15529.689,19960.861
Dewas,23,437,15250.526,17588.34,12240.853,17929.58,19923.15
Moradabad,9,135,30168.309,32724.488,32755.047,33507.88,31016.06
Ramban,1,17,3136.1997,2516.2676,4163.033,3381.97,3037.2402
Rewari,6,85,17232.06,16423.54,11881.736,14125.319,14793.66
Tamenglong,14,273,2744.5288,3819.1062,751.4169,3589.3298,3440.9097
South Tripura,16,290,8317.836,8458.25,7506.662,10133.569,11522.859
Sonitpur,18,306,11448.377,12552.297,10742.451,14198.41,14468.139
Birbhum,19,334,23314.291,23084.39,23154.582,28521.21,28515.43
Una,2,29,4746.046,5040.6064,4036.16,5062.03,5108.6797
Darbhanga,10,215,9595.92,10028.968,8765.221,11030.8,14918.7705
Jajapur,21,382,25297.256,27556.709,22413.395,23767.76,29772.45
Pratapgarh,9,173,13864.167,19131.754,20071.992,25023.121,21521.498
Chittaurgarh,8,126,34339.6,33405.406,24674.957,29350.398,32057.969
Ernakulam,32,595,15974.881,19068.182,19107.63,24898.44,27404.021
East Garo Hills,17,294,4909.933,4856.1836,3626.8027,6064.5796,2830.5
Tehri Garhwal,5,59,11046.203,10678.303,6600.376,8468.7,8391.029
Udaipur,8,130,32474.805,34778.89,24803.764,33190.89,36424.773
Raipur,22,410,66291.02,62428.188,53584.79,64994.7,63450.484
Kansiram Nagar,9,202,4978.509,7343.203,8371.106,9538.109,9784.909
Dhalai,16,291,3456.9065,3469.0422,2041.8129,4197.24,4581.94
Koriya,22,400,8218.0205,9551.749,5308.37,11648.92,11298.659
Supaul,10,208,7542.93,9839.339,8406.049,8720.399,12230.39
Jalandhar,3,37,22895.445,26048.318,22556.658,24079.32,25979.64
Akola,27,501,15145.861,15697.213,12601.941,19171.93,16680.32
Samastipur,10,221,9176.727,11135.262,9626.061,11455.17,16529.219
Mysore,29,577,22901.617,28363.56,29985.09,33687.4,35401.85
Shupiyan,1,13,1300.3081,1048.1239,700.89276,1214.31,1018.33997
Bharatpur,8,105,31370.334,36882.152,27300.05,20586.3,26030.61
Thrissur,32,594,7111.5376,8688.92,8099.984,11999.52,11735.669
Yanam,34,634,2080.561,1672.8654,1234.1217,1149.6,2695.0999
Saiha,15,288,220.42616,573.1433,-316.3181,1220.5201,819.16
Senapati,14,272,2373.815,2845.789,2746.6118,5073.26,4843.0103
Chamba,2,23,11349.618,8925.338,6712.1104,10370.39,8707.6
Dungarpur,8,124,7743.9624,8047.144,5058.568,8728.67,9647.71
Muktsar,3,44,13486.368,13040.794,11363,10966.24,11930.34
Meerut,9,138,34125.855,35730.78,38548.383,31778.7,31279.34
Gadag,29,561,5746.498,7437.448,6195.497,10736.19,11023.71
Jaunpur,9,194,11432.111,19082.676,18374.506,29814.91,27388.09
Bhind,23,420,11996.198,19779.957,16624.037,20354.58,24585.95
Solapur,27,526,53818.59,61994.875,56034.14,68592.12,74260.05
Almora,5,64,4194.827,5293.449,3502.652,5087.44,5043.3896
Upper Subansiri,12,249,3340.333,5755.841,-192.7684,3890.47,3550.0698
Patan,24,470,9237.777,9958.7,6459.2925,12833.661,13977.62
Jashpur,22,402,6676.999,7922.1953,4666.485,9709.879,9847.58
Bokaro,20,355,23915.281,24951.635,24588.402,27597.6,28910.379
Thiruvananthapuram,32,601,8918.056,10917.417,11466.105,14785.59,15142.639
Rae Bareli,9,158,17209.207,20053.742,22912.31,30851.367,29206.39
Kurung Kumey,12,256,3205.106,6907.116,-838.77264,3994.33,3523.98
Wokha,13,264,2108.8027,2415.3887,1316.54,2555.9902,2341.31
Gumla,20,366,3352.471,4517.733,1042.1592,5381.62,5059.8506
Dibang Valley,12,257,5100.98,7600.7344,434.77158,4675.88,4996.25
Nadia,19,336,21747.77,21338.586,20132.367,24846.07,23529.09
Davanagere,29,567,11306.087,14035.202,14493.241,18577.58,19739.201
Pashchim Medinipur,19,344,30351.908,30229.709,27069.848,35531.082,33786.188
Cachar,18,316,6179.6143,6348.809,4566.754,7112.12,7820.9995
Kaimur (bhabua),10,233,6600.086,8606.18,5504.483,9959.18,10819.5205
