State,District,Name,sureDoubtfulNegativeMaskSum,unsureDoubtfulMaskSum,slopePositive,slopeNegative,stderrSum,stderrMedian,stderrMean,confidentForPositive
23,421,Gwalior,0,0,4,0,0.469885282,0.08247860988,0.07831421366,1
23,430,Rewa,1,0,3,1,0.3656363389,0.08247860988,0.06093938981,1
23,442,Rajgarh,3,0,1,3,0.4109830511,0.08247860988,0.06849717519,1
23,443,Vidisha,4,0,0,4,0.3730635054,0.08247860988,0.06217725091,1
23,446,Raisen,3,0,0,3,0.4033098912,0.08247860988,0.0672183152,1
23,464,Jhabua,3,1,0,4,0.4481149488,0.08247860988,0.07468582479,1
24,476,Rajkot,0,0,4,0,0.4544544094,0.08247860988,0.07574240156,1
24,489,The Dangs,5,0,0,5,0.5773502692,0.08247860988,0.09622504486,1
27,510,Yavatmal,4,0,0,4,0.4123930494,0.08247860988,0.0687321749,1
27,517,Thane,0,0,4,0,0.4948716593,0.08247860988,0.08247860988,1
27,520,Raigarh,0,0,4,0,0.4123930494,0.08247860988,0.0687321749,1
29,563,Uttara Kannada,0,1,2,1,0.5585209576,0.08247860988,0.09308682627,1
33,614,Tiruchirappalli,0,0,3,0,0.4679275514,0.08247860988,0.07798792523,1
33,633,Tiruppur,0,1,4,0,0.5620298225,0.08247860988,0.09367163709,1
1,20,Reasi,2,2,1,3,0.6229100436,0.07992520211,0.1038183406,1
3,50,Tarn Taran,3,1,0,4,0.5254867431,0.07992520211,0.08758112385,1
8,107,Karauli,2,1,2,3,0.4910781531,0.07992520211,0.08184635886,1
23,465,Alirajpur,3,0,1,3,0.3732597482,0.07992520211,0.06220995804,1
27,529,Sindhudurg,2,0,2,2,0.4072862339,0.07992520211,0.06788103898,1
13,263,Zunheboto,2,1,0,3,0.5897474156,0.07737179433,0.09829123594,1
13,271,Peren,2,1,0,3,0.5897474156,0.07737179433,0.09829123594,1
6,84,Mahendragarh,2,0,2,2,0.3375617581,0.07737179433,0.05626029302,1
6,86,Gurgaon,0,1,4,0,0.5235469853,0.07623201555,0.08725783089,1
10,233,Kaimur (Bhabua),2,1,1,3,0.3896862297,0.07623201555,0.06494770494,1
16,291,Dhalai,0,3,0,3,0.6377379346,0.07284313591,0.1062896558,1
23,463,Singrauli,1,2,0,3,0.54704451,0.07284313591,0.091174085,1
12,252,Upper Siang,4,0,0,4,0.4494580198,0.06998542122,0.07490966996,1
1,10,Srinagar,1,2,1,2,0.6800640569,0.06998542122,0.1133440095,1
8,129,Jhalawar,0,1,1,0,0.4217124956,0.06900655593,0.07028541593,1
8,131,Pratapgarh,0,1,1,1,0.4786630734,0.06900655593,0.0797771789,1
10,232,Buxar,0,2,1,1,0.6147184547,0.06900655593,0.1024530758,1
12,245,Tawang,1,0,0,1,0.4767053428,0.06900655593,0.07945089047,1
18,326,Udalguri,0,1,0,1,0.4923655893,0.06900655593,0.08206093155,1
20,369,Saraikela-Kharsawan,0,2,1,2,0.5560258405,0.06900655593,0.09267097342,1
24,473,Gandhinagar,0,1,2,0,0.5943428753,0.06900655593,0.09905714588,1
18,302,Goalpara,1,1,2,1,0.4913335116,0.0675116518,0.0818889186,1
18,303,Barpeta,1,1,2,1,0.497048941,0.0675116518,0.08284149016,1
23,458,Guna,0,1,2,1,0.4100174497,0.0675116518,0.06833624161,1
32,593,Palakkad,0,1,2,0,0.5490626392,0.0675116518,0.09151043987,1
3,39,Shahid Bhagat Singh Nagar,1,1,1,2,0.5255972332,0.0638876565,0.08759953887,1
9,149,Budaun,1,1,1,2,0.4791379822,0.0638876565,0.07985633036,1
1,11,Ganderbal,2,1,0,3,0.49671063,0.0628138379,0.082785105,1
9,168,Hamirpur,2,1,0,3,0.511906331,0.0628138379,0.08531772183,1
9,192,Mau,0,2,1,2,0.6698748489,0.0628138379,0.1116458082,1
9,202,Kanshiram Nagar,0,2,3,0,0.6248038903,0.0628138379,0.1041339817,1
18,315,Dima Hasao,0,3,0,3,0.5401157884,0.0628138379,0.09001929807,1
22,415,Narayanpur,1,1,0,2,0.5165154171,0.0628138379,0.08608590286,1
23,461,Anuppur,0,2,1,2,0.4762017981,0.0628138379,0.07936696635,1
30,586,South Goa,0,2,3,0,0.6815955844,0.0628138379,0.1135992641,1
32,600,Kollam,2,1,0,3,0.526985914,0.0628138379,0.08783098567,1
33,605,Vellore,0,0,3,0,0.4362711674,0.0628138379,0.07271186123,1
9,136,Rampur,2,1,0,3,0.474444467,0.06226998491,0.07907407784,1
8,116,Jalor,1,2,0,2,0.4974381462,0.05408484139,0.08290635771,1
9,156,Unnao,2,1,0,3,0.4380841223,0.05408484139,0.07301402039,1
10,208,Supaul,1,2,2,1,0.4701953201,0.05408484139,0.07836588669,1
21,397,Nabarangapur,2,1,0,3,0.4009022155,0.05408484139,0.06681703592,1
22,409,Durg,1,1,1,2,0.3688206622,0.05408484139,0.06147011036,1
23,426,Panna,1,1,1,2,0.3688206622,0.05408484139,0.06147011036,1
23,449,Hoshangabad,0,0,3,0,0.3831638288,0.05408484139,0.06386063814,1
24,481,Bhavnagar,0,0,3,0,0.3812965853,0.05408484139,0.06354943089,1
24,488,Bharuch,0,1,3,0,0.5243822541,0.05408484139,0.08739704236,1
27,502,Washim,2,0,1,2,0.3812965853,0.05408484139,0.06354943089,1
32,594,Thrissur,1,0,2,1,0.4081502062,0.05408484139,0.06802503436,1
33,624,Theni,1,2,0,3,0.615881592,0.05408484139,0.102646932,1
14,280,Chandel,1,2,1,2,0.5239047162,0.05345224838,0.0873174527,1
1,4,Kargil,1,1,2,1,0.5068650369,0.05016977978,0.08447750616,1
1,8,Baramula,1,2,1,2,0.5538933081,0.05016977978,0.09231555135,1
1,9,Bandipore,1,2,1,2,0.6716537881,0.05016977978,0.111942298,1
2,26,Kullu,3,0,0,3,0.4013582382,0.05016977978,0.0668930397,1
5,57,Chamoli,0,0,3,0,0.4140474035,0.05016977978,0.06900790059,1
5,58,Rudraprayag,0,1,2,1,0.4535537486,0.05016977978,0.07559229143,1
5,64,Almora,1,1,1,2,0.4585128539,0.05016977978,0.07641880898,1
6,87,Mewat,1,1,1,2,0.3839585112,0.05016977978,0.06399308519,1
8,112,Nagaur,0,2,1,2,0.4772225869,0.05016977978,0.07953709782,1
8,113,Jodhpur,0,2,1,2,0.4915657536,0.05016977978,0.0819276256,1
9,148,Mainpuri,1,1,2,1,0.5220520551,0.05016977978,0.08700867585,1
9,155,Hardoi,0,1,2,1,0.3734664621,0.05016977978,0.06224441035,1
9,159,Farrukhabad,1,2,1,2,0.5330182907,0.05016977978,0.08883638178,1
9,160,Kannauj,2,1,0,3,0.4517022287,0.05016977978,0.07528370479,1
9,161,Etawah,1,2,1,1,0.5714320793,0.05016977978,0.09523867988,1
9,165,Jalaun,1,1,1,2,0.4707257263,0.05016977978,0.07845428772,1
9,167,Lalitpur,0,1,2,1,0.4566497676,0.05016977978,0.07610829459,1
9,176,Bara Banki,2,0,0,2,0.4033098912,0.05016977978,0.0672183152,1
9,194,Jaunpur,1,1,2,1,0.4170184847,0.05016977978,0.06950308078,1
10,204,Purba Champaran,1,0,1,1,0.338692231,0.05016977978,0.05644870516,1
10,218,Siwan,0,2,3,0,0.5016977978,0.05016977978,0.08361629963,1
15,286,Lunglei,0,2,1,2,0.4785558495,0.05016977978,0.07975930826,1
19,329,Koch Bihar,2,0,1,2,0.3763657833,0.05016977978,0.06272763055,1
20,362,Dumka,1,1,1,2,0.3734664621,0.05016977978,0.06224441035,1
20,366,Gumla,0,2,3,0,0.5016977978,0.05016977978,0.08361629963,1
21,392,Subarnapur,1,1,1,2,0.4772225869,0.05016977978,0.07953709782,1
22,402,Jashpur,0,2,3,0,0.4600976604,0.05016977978,0.07668294341,1
23,431,Umaria,1,1,0,2,0.3639803472,0.05016977978,0.0606633912,1
